Unnamed: 0,id,host_id,host_is_superhost,host_listings_count,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,review_scores_rating,price_normal
8794,21629636,130223809,0,12.0,50,8015,41.38118,2.15749,1,0,4,1.0,2.0,2.0,45.0,32,0,0,6,36,254,4,7,3.80666248977032
9425,22825925,168726533,0,13.0,50,8015,41.37932,2.15801,1,0,4,1.0,2.0,2.0,35.0,31,0,12,42,72,347,1,7,3.555348061489413
5008,12943964,3376710,0,44.0,57,8004,41.37403,2.14788,1,0,6,1.0,3.0,4.0,50.0,32,0,0,10,40,315,0,6,3.912023005428146
6216,16331344,27604634,0,1.0,24,8032,41.42483,2.16393,20,1,2,1.0,1.0,1.0,30.0,2,0,0,0,0,0,0,8,3.4011973816621555
13011,30030221,7053689,0,39.0,32,8025,41.40778,2.17526,1,0,8,2.0,2.0,4.0,121.0,1,0,10,20,36,151,10,7,4.795790545596741
5259,13517526,17751441,1,8.0,6,8011,41.3827,2.16143,1,0,6,2.0,3.0,4.0,189.0,4,0,17,37,67,157,13,7,5.241747015059643
13117,30223189,47171261,0,50.0,15,8002,41.38104,2.17477,1,0,2,1.0,1.0,1.0,63.0,60,0,29,59,89,364,0,8,4.143134726391533
10800,25347365,189159365,0,7.0,25,8007,41.38923,2.16001,1,0,8,2.0,3.0,5.0,113.0,3,0,1,1,4,187,85,7,4.727387818712341
15760,34300218,258951331,0,4.0,49,8030,41.43799,2.18946,1,0,6,2.0,2.0,3.0,300.0,2,0,8,22,52,327,0,8,5.703782474656201
13171,30365974,223315429,0,9.0,6,8011,41.38629,2.15624,1,0,6,1.5,4.0,4.0,185.0,2,0,16,46,76,351,16,7,5.220355825078324
3302,6882038,35545637,0,1.0,54,8005,41.3966,2.19687,1,1,2,1.0,1.0,1.0,35.0,2,0,0,0,0,0,0,7,3.555348061489413
17085,35599156,267825054,0,1.0,6,8011,41.38654,2.16314,1,1,2,1.0,1.0,1.0,33.0,1,0,5,5,5,5,1,7,3.49650756146648
6846,17755018,63229593,0,12.0,6,8007,41.38625,2.16526,24,0,10,3.0,4.0,8.0,350.0,3,0,17,47,72,175,7,7,5.857933154483459
10717,25182561,3376710,0,44.0,11,8026,41.41076,2.17993,24,0,5,1.0,3.0,3.0,60.0,31,0,14,14,23,298,0,8,4.0943445622221
7993,19866423,4459553,0,206.0,2,8032,41.41886,2.15729,1,0,4,1.0,1.0,3.0,350.0,3,0,10,21,39,304,12,7,5.857933154483459
5408,13811701,43565515,1,44.0,6,8008,41.39374,2.16036,1,0,6,1.0,2.0,2.0,5000.0,32,0,0,0,0,1,1,7,8.517193191416238
713,967346,5170597,0,5.0,30,8011,41.38556,2.16229,1,0,13,3.0,5.0,10.0,300.0,3,0,10,33,42,305,48,6,5.703782474656201
14004,32001919,222715440,0,2.0,6,8011,41.38487,2.15937,21,0,2,1.0,1.0,2.0,62.0,32,0,0,0,0,240,0,8,4.127134385045092
